tid,name,num,ts,grade,lng,lat,dist_km
3304364,紫檀,2619,202608232300,TS,107.7,20.5,1570.8
3304364,紫檀,2619,202608240000,TS,107.6,20.5,1578.1
3304364,紫檀,2619,202608240100,TS,107.6,20.5,1578.1
3304364,紫檀,2619,202608240200,TS,107.6,20.4,1585.4
3304364,紫檀,2619,202608240300,TS,107.6,20.3,1592.8
3304364,紫檀,2619,202608240400,TS,107.6,20.2,1600.2
3304364,紫檀,2619,202608240500,TS,107.5,20.2,1607.4
3304364,紫檀,2619,202608240600,TS,107.4,20,1629.4
3304364,紫檀,2619,202608240700,TS,107.3,19.9,1644.0
3304364,紫檀,2619,202608240800,TS,107.3,19.9,1644.0
3304364,紫檀,2619,202608240900,TS,107.3,19.8,1651.5
3304364,紫檀,2619,202608241000,TS,107.3,19.7,1659.0
3304364,紫檀,2619,202608241100,TS,107.3,19.7,1659.0
3304364,紫檀,2619,202608241200,TS,107.4,19.6,1659.6
3304364,紫檀,2619,202608241300,TS,107.5,19.6,1652.6
3304364,紫檀,2619,202608241400,TS,107.6,19.7,1638.0
3304364,紫檀,2619,202608241500,TS,107.7,19.7,1631.0
3304364,紫檀,2619,202608241600,TS,107.7,19.7,1631.0
3304364,紫檀,2619,202608241700,TS,107.7,19.8,1623.3
3304364,紫檀,2619,202608241800,TS,107.8,19.8,1616.4
3304364,紫檀,2619,202608241900,TS,107.9,19.7,1617.2
3304364,紫檀,2619,202608242000,TS,107.9,19.6,1624.9
3304364,紫檀,2619,202608242100,TS,108,19.5,1625.9
3304364,紫檀,2619,202608242200,TS,108,19.5,1625.9
3304364,紫檀,2619,202608242300,TS,108,19.5,1625.9
3304364,紫檀,2619,202608250000,TS,108,19.4,1633.8
3304364,紫檀,2619,202608250100,TS,108.1,19.4,1627.0
3304364,紫檀,2619,202608250200,TS,108.1,19.4,1627.0
3304364,紫檀,2619,202608250300,TS,108.1,19.4,1627.0
3304364,紫檀,2619,202608250400,TS,108.2,19.3,1628.3
3304364,紫檀,2619,202608250500,TS,108.2,19.3,1628.3
3304364,紫檀,2619,202608250600,TS,108.3,19.3,1621.6
3304364,紫檀,2619,202608250700,TS,108.3,19.3,1621.6
3304364,紫檀,2619,202608250800,TS,108.4,19.4,1607.0
3304364,紫檀,2619,202608250900,TS,108.5,19.4,1600.3
3304364,紫檀,2619,202608251000,TS,108.6,19.4,1593.7
3304364,紫檀,2619,202608251100,TS,108.8,19.4,1580.6
3304364,紫檀,2619,202608251200,TS,109,19.5,1559.4
3304364,紫檀,2619,202608251300,TS,109.2,19.6,1538.3
3304364,紫檀,2619,202608251400,TS,109.3,19.7,1523.6
3304364,紫檀,2619,202608251500,TS,109.5,19.8,1502.4
3304364,紫檀,2619,202608251600,TS,109.7,19.8,1489.6
3304364,紫檀,2619,202608251700,TS,109.7,19.9,1481.3
3304364,紫檀,2619,202608251800,TS,109.7,20.1,1464.8
3304364,紫檀,2619,202608251900,TS,109.8,20.2,1450.1
3304364,紫檀,2619,202608252000,TS,110.2,20.3,1416.2
3304364,紫檀,2619,202608252100,TD,110.3,20.4,1401.5
3304364,紫檀,2619,202608260000,TD,110.7,20.9,1334.4
3304364,紫檀,2619,202608260300,TD,110.7,21.4,1293.5
3304099,沙德尔,2618,202608190300,TS,153.9,8.2,4059.2
3304099,沙德尔,2618,202608190600,TS,153.8,8.4,4038.3
3304099,沙德尔,2618,202608190900,TS,153.7,8.7,4011.0
3304099,沙德尔,2618,202608191200,TS,153.2,8.8,3965.5
3304099,沙德尔,2618,202608191500,TS,152.5,9.5,3865.3
3304099,沙德尔,2618,202608191800,TS,152.3,10.5,3785.6
3304099,沙德尔,2618,202608192100,TS,152.3,10.6,3779.3
3304099,沙德尔,2618,202608200000,TS,151.9,11.2,3710.0
3304099,沙德尔,2618,202608200300,TS,151.5,11.8,3641.0
3304099,沙德尔,2618,202608200600,TS,151,12,3588.6
3304099,沙德尔,2618,202608200900,TS,150.8,12.5,3542.1
3304099,沙德尔,2618,202608201200,TS,150.5,12.8,3499.8
3304099,沙德尔,2618,202608201500,TS,150.2,13.1,3457.5
3304099,沙德尔,2618,202608201800,TS,149.7,13.7,3381.2
3304099,沙德尔,2618,202608202100,TS,149.5,14,3347.3
3304099,沙德尔,2618,202608210000,STS,149.3,14.2,3319.2
3304099,沙德尔,2618,202608210300,STS,149.1,14.5,3285.4
3304099,沙德尔,2618,202608210600,STS,148.7,14.9,3229.5
3304099,沙德尔,2618,202608210900,STS,148.5,15.4,3184.7
3304099,沙德尔,2618,202608211200,STS,148.3,15.9,3140.3
3304099,沙德尔,2618,202608211500,TY,148,16.3,3093.4
3304099,沙德尔,2618,202608211800,TY,147.8,16.9,3044.5
3304099,沙德尔,2618,202608212100,TY,147.5,17.7,2977.8
3304099,沙德尔,2618,202608220000,TY,146.8,18,2902.6
3304099,沙德尔,2618,202608220300,TY,146.1,18.3,2827.5
3304099,沙德尔,2618,202608220600,TY,146.1,18.5,2817.5
3304099,沙德尔,2618,202608220900,STY,145.7,19.2,2748.7
3304099,沙德尔,2618,202608221200,STY,145.2,19.6,2686.2
3304099,沙德尔,2618,202608221500,STY,144.4,20,2597.7
3304099,沙德尔,2618,202608221800,SuperTY,143.9,20.4,2535.4
3304099,沙德尔,2618,202608222100,SuperTY,143,20.8,2438.2
3304099,沙德尔,2618,202608230000,SuperTY,142.5,21,2385.2
3304099,沙德尔,2618,202608230300,SuperTY,141.9,21.6,2305.4
3304099,沙德尔,2618,202608230600,SuperTY,141.1,21.9,2221.5
3304099,沙德尔,2618,202608230900,SuperTY,140.4,22.3,2142.0
3304099,沙德尔,2618,202608231200,SuperTY,139.6,22.6,2058.1
3304099,沙德尔,2618,202608231500,SuperTY,138.8,22.8,1978.6
3304099,沙德尔,2618,202608231800,SuperTY,137.9,23.3,1877.1
3304099,沙德尔,2618,202608232100,SuperTY,137.3,23.5,1815.3
3304099,沙德尔,2618,202608240000,SuperTY,136.5,23.9,1727.1
3304099,沙德尔,2618,202608240300,SuperTY,135.6,24.1,1638.7
3304099,沙德尔,2618,202608240600,SuperTY,134.9,24.5,1559.4
3304099,沙德尔,2618,202608240900,SuperTY,134.1,24.7,1479.7
